Profibus Line,Node Number,Node Name,Module Name,User Module,Component,Variable,IO Type
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_0,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_1,1001W003R_DIN,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_2,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_3,1001W003A_DIN,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_4,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_5,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_6,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL0_7,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_0,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_1,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_2,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_3,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_4,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_5,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_6,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_3,M3_IN_BOOL1_7,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_4,M4_IN_BOOL0_0,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_4,M4_IN_BOOL0_1,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_4,M4_IN_BOOL0_2,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_4,M4_IN_BOOL0_3,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_4,M4_IN_BOOL0_4,,IN
C1,3,+ECR7-G7-2-RIO1,6ES7 321-7BH01-0AB0       16DI,M2P_3_4,M4_IN_BOOL0_5,,IN
